Date, AirTemperature
2014-12-24,48.46999971
2014-12-25,45.25999991
2014-12-26,50.59250013
2014-12-27,42.0874999
2014-12-28,43.52375007
2014-12-29,42.13250001
2014-12-30,45.77000014
2014-12-31,48.93124978
2015-01-01,40.81624985
2015-01-02,37.32874993
2015-01-03,38.96750017
2015-01-04,42.51499995
2015-01-05,42.89375003
2015-01-06,48.01999966
2015-01-07,48.61625004
2015-01-08,47.91124972
2015-01-09,51.31625032
2015-01-10,49.21999995
2015-01-11,46.9737498
2015-01-12,48.70250034
2015-01-13,54.98749987
2015-01-14,45.54124991
2015-01-15,45.91250014
2015-01-16,48.69499985
2015-01-17,53.86625012
2015-01-18,54.96499976
2015-01-19,54.30875023
2015-01-20,47.61499985
2015-01-21,44.3412501
2015-01-22,45.41375033
2015-01-23,46.38875039
2015-01-24,46.99999984
2015-01-25,46.76375
2015-01-26,48.12874985
2015-01-27,53.18375015
2015-01-28,53.68625053
2015-01-29,51.11750007
2015-01-30,48.70249987
2015-01-31,64.16750018
2015-02-01,49.01000007
2015-02-02,51.7699999
2015-02-03,53.84749993
2015-02-04,53.6562496
2015-02-05,52.22374972
2015-02-06,58.79374997
2015-02-07,60.45124952
2015-02-08,57.63124975
2015-02-09,56.9150006
2015-02-10,50.92250029
2015-02-11,51.76249997
2015-02-12,54.60499994
2015-02-13,56.27374991
2015-02-14,57.52250012
2015-02-15,56.35361692
2015-02-16,56.75750025
2015-02-17,53.39750036
2015-02-18,56.01874995
2015-02-19,52.50875004
2015-02-20,56.3525002
2015-02-21,51.16624983
2015-02-22,55.56125045
2015-02-23,54.96499976
2015-02-24,51.09874988
2015-02-25,50.58875004
2015-02-26,55.61750007
2015-02-27,53.67499987
2015-02-28,48.72499959
2015-03-01,49.5687499
2015-03-02,49.68499994
2015-03-03,50.38249993
2015-03-04,50.55125006
2015-03-05,52.30999947
2015-03-06,53.96375028
2015-03-07,55.79000012
2015-03-08,55.02434755
2015-03-09,54.35750008
2015-03-10,55.05500023
2015-03-11,58.18250012
2015-03-12,59.62249986
2015-03-13,61.7225004
2015-03-14,66.72500006
2015-03-15,61.59124994
2015-03-16,59.21749949
2015-03-17,59.53250019
2015-03-18,58.35124977
2015-03-19,58.56124957
2015-03-20,55.45624995
2015-03-21,58.63999979
2015-03-22,59.4312497
2015-03-23,57.37999988
2015-03-24,58.45250042
2015-03-25,60.47375051
2015-03-26,63.70250003
2015-03-27,60.17374961
2015-03-28,61.32875053
2015-03-29,61.05499983
2015-03-30,59.32624992
2015-03-31,59.51375031
2015-04-01,55.29499952
2015-04-02,60.52250036
2015-04-03,55.25375001
2015-04-04,52.03625027
2015-04-05,48.69499993
2015-04-06,49.59124986
2015-04-07,50.55125006
2015-04-08,50.30374996
2015-04-09,53.5287501
2015-04-10,55.36249971
2015-04-11,56.5062503
2015-04-12,61.35500002
2015-04-13,56.47999994
2015-04-14,56.0112501
2015-04-15,63.16249983
2015-04-16,70.63250001
2015-04-17,61.55750012
2015-04-18,58.6812501
2015-04-19,57.79250018
2015-04-20,58.93624997
2015-04-21,55.26125002
2015-04-22,59.6524996
2015-04-23,58.57624968
